FR;01098;CHAZEY BONS;01300;L025;5.67205,45.797746
FR;01099;CHAZEY SUR AIN;01150;L024;5.258513,45.895931
FR;01100;CHEIGNIEU LA BALME;01510;L25C;5.610928,45.825966
FR;01101;CHEVILLARD;01430;L026;5.576107,46.115566
FR;01102;CHEVROUX;01190;L003;4.961916,46.381551
FR;01103;CHEVRY;01170;L20B;6.047527,46.28763
FR;01104;CHEZERY FORENS;01410;L019;5.873624,46.211283
FR;01105;CIVRIEUX;01390;L09B;4.879757,45.917731
FR;01106;CIZE;01250;L013;5.453343,46.206113
FR;01107;CLEYZIEU;01230;L25C;5.432092,45.903758
FR;01108;COLIGNY;01270;L013;5.34855,46.385023
FR;01109;COLLONGES;01550;L20B;5.907855,46.139834
FR;01110;COLOMIEU;01300;L025;5.622449,45.733653
FR;01111;CONAND;01230;L025;5.46336,45.900546
FR;01112;CONDAMINE;01430;L026;5.55131,46.109258
FR;01113;CONDEISSIAT;01400;L010;5.083867,46.154848
FR;01114;CONFORT;01200;L021;5.829859,46.154464
FR;01115;CONFRANCON;01310;L003;5.063843,46.267746
FR;01116;CONTREVOZ;01300;L025;5.620369,45.80244
FR;01117;CONZIEU;01300;L025;5.604585,45.73186
FR;01118;CORBONOD;01420;L25C;5.810518,45.965971
FR;01119;CORCELLES;01110;L026;4.870631,46.153817
FR;01121;CORLIER;01110;L026;5.500177,46.029926
FR;01122;CORMARANCHE EN BUGEY;01110;L026;5.612684,45.954348
FR;01123;CORMORANCHE SUR SAONE;01290;L004;4.829538,46.238991
FR;01124;CORMOZ;01560;L013;5.221068,46.441062
FR;01125;CORVEISSIAT;01250;L013;5.477216,46.247082
FR;01127;COURMANGOUX;01370;L013;5.355785,46.325662
FR;01128;COURTES;01560;L011;5.110724,46.459084
FR;01129;CRANS;01320;L032;5.196543,45.965432
FR;01130;CRAS SUR REYSSOUZE;01340;L011;5.171433,46.303144
FR;01133;CRESSIN ROCHEFORT;01350;L025;5.765631,45.782293
FR;01134;CROTTET;01290;L003;4.877743,46.285131
FR;01135;CROZET;01170;L20B;6.002895,46.285422
FR;01136;CRUZILLES LES MEPILLAT;01290;L004;4.879339,46.224415
FR;01138;CULOZ;01350;L25C;5.785973,45.850718
FR;01139;CURCIAT DONGALON;01560;L011;5.16382,46.48356
FR;01140;CURTAFOND;01310;L003;5.105065,46.273125
FR;01141;CUZIEU;01300;L025;5.676903,45.820492
FR;01142;DAGNEUX;01120;L023;5.071974,45.84874
FR;01143;DIVONNE LES BAINS;01220;L019;6.134292,46.36268
FR;01144;DOMMARTIN;01380;L003;4.714324,45.836145
FR;01146;DOMPIERRE SUR CHALARONNE;01400;L010;4.900741,46.138771
FR;01145;DOMPIERRE SUR VEYLE;01240;L012;5.209306,46.064919
FR;01147;DOMSURE;01270;L013;5.294443,46.420731
FR;01148;DORTAN;01590;L028;5.645677,46.32202
FR;01149;DOUVRES;01500;L022;5.373577,45.988433
FR;01150;DROM;01250;L013;5.369075,46.220966
FR;01151;DRUILLAT;01160;L001;5.299817,46.065888
FR;01152;ECHALLON;01130;L021;5.740105,46.218101
FR;01153;ECHENEVEX;01170;L20B;6.045077,46.306016
FR;74109;ELOISE;01200;L021;5.843793,46.089168
FR;74109;ELOISE;01200;L021;5.843793,46.089168
FR;01154;ETREZ;01340;L011;5.19956,46.286592
FR;01155;EVOSGES;01230;L026;5.499432,45.961359
FR;01156;FARAMANS;01800;L023;5.130353,45.912057
FR;01157;FAREINS;01480;L009;4.76467,46.023364
FR;01158;FARGES;01550;L20B;5.905153,46.16615
FR;01159;FEILLENS;01570;L003;4.89598,46.333638
FR;01160;FERNEY VOLTAIRE;01210;L19B;6.108779,46.253722
FR;01162;FLAXIEU;01350;L025;5.736647,45.809157
FR;01163;FOISSIAT;01340;L011;5.187219,46.378589
FR;01165;FRANCHELEINS;01090;L009;4.804808,46.076214
FR;01166;FRANS;01480;L009;4.780988,45.990891
FR;01167;GARNERANS;01140;L004;4.840308,46.210764
FR;01169;GENOUILLEUX;01090;L009;4.789526,46.121275
FR;01171;GEOVREISSET;01100;L28B;5.624436,46.258213
FR;01170;GEOVREISSIAT;01460;L028;5.54997,46.188408
FR;01172;GERMAGNAT;01250;L013;5.439621,46.30628
FR;01173;GEX;01170;L019;6.061937,46.352448
FR;01174;GIRON;01130;L021;5.775823,46.219175
FR;01175;GORREVOD;01190;L011;4.948252,46.418453
FR;01177;GRAND CORENT;01250;L013;5.437378,46.20921
FR;01179;GRIEGES;01290;L004;4.851065,46.255162
FR;01180;GRILLY;01220;L019;6.109454,46.328758
FR;01181;GROISSIAT;01100;L28B;5.616679,46.227005
FR;01182;GROSLEE;01680;L25B;5.564946,45.715492
FR;01183;GUEREINS;01090;L009;4.776736,46.103399
FR;01184;HAUTECOURT ROMANECHE;01250;L013;5.433688,46.156198
FR;01185;HAUTEVILLE LOMPNES;01110;L026;5.57523,45.930864
FR;01186;HOSTIAS;01110;L026;5.544151,45.913371
FR;01187;HOTONNES;01260;L25C;5.687838,45.954209
FR;01188;ILLIAT;01140;L004;4.882581,46.187995
FR;01189;INJOUX GENISSIAT;01200;L25C;5.783324,46.050612
FR;01190;INNIMOND;01680;L25B;5.573028,45.791209
FR;01191;IZENAVE;01430;L026;5.523824,46.044204
FR;01192;IZERNORE;01580;L026;5.559852,46.219012
FR;01193;IZIEU;01300;L25B;5.638536,45.648444
FR;01194;JASSANS RIOTTIER;01480;L009;4.76163,45.976731
FR;01195;JASSERON;01250;L013;5.314142,46.217681
FR;01196;JAYAT;01340;L011;5.113079,46.368073
FR;01197;JOURNANS;01250;L14B;5.331024,46.147288
FR;01198;JOYEUX;01800;L032;5.096594,45.946244
FR;01199;JUJURIEUX;01640;L001;5.411694,46.045294
FR;01001;L ABERGEMENT CLEMENCIAT;01400;L010;4.932885,46.147473
FR;01002;L ABERGEMENT DE VAREY;01640;L001;5.422494,46.008818
FR;01049;LA BOISSE;01120;L023;5.027482,45.853176
FR;01066;LA BURBANCHE;01510;L25C;5.552508,45.855639
FR;01085;LA CHAPELLE DU CHATELARD;01240;L010;5.029723,46.063045
FR;01425;LA TRANCLIERE;01160;L001;5.265893,46.095138
FR;01909;LA VALBONNE;01360;L023;5.113328,45.849344
FR;01200;LABALME;01450;L026;5.491656,46.093693
FR;01202;LAGNIEU;01150;L25B;5.332423,45.889202
FR;01203;LAIZ;01290;L004;4.895982,46.245839
FR;01204;LALLEYRIAT;01130;L021;5.69484,46.148976
FR;01205;LANCRANS;01200;L021;5.825994,46.115348
FR;01206;LANTENAY;01430;L026;5.538351,46.058764
FR;01207;LAPEYROUSE;01330;L032;4.979698,45.983477
FR;39283;LAVANCIA EPERCY;01590;L028;5.680776,46.332758
FR;01208;LAVOURS;01350;L025;5.774319,45.811645
FR;01176;LE GRAND ABERGEMENT;01260;L25C;5.672009,46.911871
FR;01260;LE MONTELLIER;01800;L032;5.074492,45.93067
FR;01292;LE PETIT ABERGEMENT;01260;L25C;5.695293,46.901574
FR;01299;LE PLANTAY;01330;L032;5.08144,46.020844
FR;01300;LE POIZAT;01130;L021;4.314227,46.123588
FR;01209;LEAZ;01200;L20B;5.876848,46.105056
FR;01210;LELEX;01410;L019;5.933713,46.29469
FR;01211;LENT;01240;L012;5.190936,46.114567
FR;01915;LES ECHETS;01700;L023;5.987377,45.782434
FR;01274;LES NEYROLLES;01130;L021;5.634032,46.141899
FR;01212;LESCHEROUX;01560;L011;5.154239,46.411209
FR;01213;LEYMENT;01150;L024;5.288165,45.93091
FR;01214;LEYSSARD;01450;L001;5.475701,46.160799
FR;01215;LHOPITAL;01420;L25C;5.793983,46.028347
FR;01216;LHUIS;01680;L25B;5.540737,45.742184
FR;01218;LOCHIEU;01260;L25C;5.727081,45.929827
FR;01219;LOMPNAS;01680;L25B;5.523603,45.805332
FR;01221;LOMPNIEU;01260;L25C;5.660427,45.961731
FR;01224;LOYETTES;01360;L024;5.218918,45.792989
FR;01225;LURCY;01090;L009;4.783331,46.064828
FR;01227;MAGNIEU;01300;L025;5.722605,45.778846
FR;01228;MAILLAT;01430;L026;5.5401,46.124171
FR;01229;MALAFRETAZ;01340;L011;5.143537,46.323456
FR;01230;MANTENAY MONTLIN;01560;L011;5.105192,46.432729
